,response,response_adjusted,prompt,prompt_number,category,origin,model,temperature,trial
38,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,deepseek-chat,1.0,1
39,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,deepseek-chat,1.0,1
40,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,2
41,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,2
42,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,2
43,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,2
44,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,2
45,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,2
46,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,2
47,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,2
48,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,2
49,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,2
50,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,2
51,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,2
52,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,2
53,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,2
54,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,2
55,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,2
56,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,2
57,3,3,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,2
58,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,2
59,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,2
60,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,2
61,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,2
62,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,2
63,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,2
64,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,2
65,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,2
66,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,2
67,3,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,2
68,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,2
69,3,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,2
70,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,2
71,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,2
72,3,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,2
73,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,2
74,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,2
75,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,deepseek-chat,1.0,2
76,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,deepseek-chat,1.0,2
77,3,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,deepseek-chat,1.0,2
78,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,deepseek-chat,1.0,2
79,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,deepseek-chat,1.0,2
80,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,3
81,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,3
82,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,3
83,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,3
84,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,3
85,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,3
86,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,3
87,4,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,3
88,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,3
89,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,3
90,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,3
91,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,3
92,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,3
93,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,3
94,3,3,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,3
95,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,3
96,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,3
97,3,3,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,3
98,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,3
99,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,3
100,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,3
101,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,3
102,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,3
103,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,3
104,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,3
105,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,3
106,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,3
107,3,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,3
108,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,3
109,3,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,3
110,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,3
111,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,3
112,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,3
113,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,3
114,3,2,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,3
115,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,deepseek-chat,1.0,3
116,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,deepseek-chat,1.0,3
117,3,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,deepseek-chat,1.0,3
118,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,deepseek-chat,1.0,3
119,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,deepseek-chat,1.0,3
120,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,4
121,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,4
122,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,4
123,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,4
124,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,4
125,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,4
126,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,4
127,4,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,4
128,3,3,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,4
129,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,4
130,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,4
131,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,4
132,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,4
133,3,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,4
134,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,4
135,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,4
136,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,4
137,2,2,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,4
138,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,4
139,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,4
140,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,4
141,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,4
142,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,4
143,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,4
144,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,4
145,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,4
146,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,4
147,3,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,4
148,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,4
149,3,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,4
150,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,4
151,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,4
152,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,4
153,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,4
154,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,4
155,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,deepseek-chat,1.0,4
156,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,deepseek-chat,1.0,4
157,3,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,deepseek-chat,1.0,4
158,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,deepseek-chat,1.0,4
159,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,deepseek-chat,1.0,4
160,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,5
161,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,5
162,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,5
163,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,5
164,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,5
165,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,5
166,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,5
167,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,5
168,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,5
169,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,5
170,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,5
171,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,5
172,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,5
173,3,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,5
174,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,5
175,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,5
176,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,5
177,3,3,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,5
178,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,5
179,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,5
180,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,5
181,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,5
182,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,5
183,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,5
184,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,5
185,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,5
186,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,5
187,2,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,5
188,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,5
189,3,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,5
190,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,5
191,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,5
192,3,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,5
193,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,5
194,3,2,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,5
195,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,deepseek-chat,1.0,5
196,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,deepseek-chat,1.0,5
197,3,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,deepseek-chat,1.0,5
198,3,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,deepseek-chat,1.0,5
199,3,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,deepseek-chat,1.0,5
200,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,6
201,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,6
202,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,6
203,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,6
204,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,6
205,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,6
206,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,6
207,4,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,6
208,3,3,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,6
209,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,6
210,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,6
211,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,6
212,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,6
213,3,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,6
214,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,6
215,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,6
216,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,6
217,3,3,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,6
218,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,6
219,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,6
220,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,6
221,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,6
222,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,6
223,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,6
224,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,6
225,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,6
226,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,6
227,3,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,6
228,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,6
229,4,1,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,6
230,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,6
231,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,6
232,2,3,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,6
233,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,6
234,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,6
