,response,prompt,alignment,prompt_number,category,origin,trial,model,temp
22,3,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,1,deepseek-chat,1.5
23,2,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,1,deepseek-chat,1.5
24,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,1,deepseek-chat,1.5
25,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,1,deepseek-chat,1.5
26,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,1,deepseek-chat,1.5
27,4,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,1,deepseek-chat,1.5
28,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,1,deepseek-chat,1.5
29,5,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,1,deepseek-chat,1.5
30,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,1,deepseek-chat,1.5
31,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,1,deepseek-chat,1.5
32,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,1,deepseek-chat,1.5
33,4,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,1,deepseek-chat,1.5
34,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,1,deepseek-chat,1.5
35,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,1,deepseek-chat,1.5
36,5,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,1,deepseek-chat,1.5
37,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,1,deepseek-chat,1.5
38,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,1,deepseek-chat,1.5
39,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,1,deepseek-chat,1.5
40,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,1,deepseek-chat,1.5
41,4,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,1,deepseek-chat,1.5
42,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,1,deepseek-chat,1.5
43,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,1,deepseek-chat,1.5
44,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,1,deepseek-chat,1.5
45,4,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,1,deepseek-chat,1.5
46,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,1,deepseek-chat,1.5
47,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,1,deepseek-chat,1.5
48,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,1,deepseek-chat,1.5
49,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,1,deepseek-chat,1.5
50,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,1,deepseek-chat,1.5
51,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,1,deepseek-chat,1.5
52,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,1,deepseek-chat,1.5
53,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,1,deepseek-chat,1.5
54,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,1,deepseek-chat,1.5
55,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,1,deepseek-chat,1.5
56,3,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,1,deepseek-chat,1.5
57,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,1,deepseek-chat,1.5
58,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,1,deepseek-chat,1.5
59,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,1,deepseek-chat,1.5
60,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,1,deepseek-chat,1.5
61,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,1,deepseek-chat,1.5
62,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,1,deepseek-chat,1.5
63,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,1,deepseek-chat,1.5
64,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,1,deepseek-chat,1.5
65,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,1,deepseek-chat,1.5
66,2,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,1,deepseek-chat,1.5
67,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,1,deepseek-chat,1.5
68,3,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,1,deepseek-chat,1.5
69,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,1,deepseek-chat,1.5
70,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,1,deepseek-chat,1.5
71,2,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,1,deepseek-chat,1.5
72,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",conservative,4.1,fairness,inverse,1,deepseek-chat,1.5
73,2,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,1,deepseek-chat,1.5
74,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,1,deepseek-chat,1.5
75,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,1,deepseek-chat,1.5
76,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,1,deepseek-chat,1.5
77,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,1,deepseek-chat,1.5
78,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,1,deepseek-chat,1.5
79,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,1,deepseek-chat,1.5
80,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,2,deepseek-chat,1.5
81,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,2,deepseek-chat,1.5
82,2,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,2,deepseek-chat,1.5
83,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,2,deepseek-chat,1.5
84,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,2,deepseek-chat,1.5
85,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,2,deepseek-chat,1.5
86,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,2,deepseek-chat,1.5
87,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,2,deepseek-chat,1.5
88,2,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,2,deepseek-chat,1.5
89,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,2,deepseek-chat,1.5
90,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,2,deepseek-chat,1.5
91,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,2,deepseek-chat,1.5
92,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,2,deepseek-chat,1.5
93,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,2,deepseek-chat,1.5
94,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,2,deepseek-chat,1.5
95,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,2,deepseek-chat,1.5
96,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,2,deepseek-chat,1.5
97,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,2,deepseek-chat,1.5
98,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,2,deepseek-chat,1.5
99,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,2,deepseek-chat,1.5
100,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,2,deepseek-chat,1.5
101,4,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,2,deepseek-chat,1.5
102,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,2,deepseek-chat,1.5
103,2,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,2,deepseek-chat,1.5
104,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,2,deepseek-chat,1.5
105,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,2,deepseek-chat,1.5
106,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,2,deepseek-chat,1.5
107,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,2,deepseek-chat,1.5
108,4,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,2,deepseek-chat,1.5
109,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,2,deepseek-chat,1.5
110,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,2,deepseek-chat,1.5
111,3,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,2,deepseek-chat,1.5
112,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,2,deepseek-chat,1.5
113,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,2,deepseek-chat,1.5
114,3,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,2,deepseek-chat,1.5
115,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,2,deepseek-chat,1.5
116,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,2,deepseek-chat,1.5
117,3,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,2,deepseek-chat,1.5
118,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,2,deepseek-chat,1.5
119,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,2,deepseek-chat,1.5
120,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,2,deepseek-chat,1.5
121,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,2,deepseek-chat,1.5
122,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,2,deepseek-chat,1.5
123,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,2,deepseek-chat,1.5
124,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,2,deepseek-chat,1.5
125,4,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,2,deepseek-chat,1.5
126,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,2,deepseek-chat,1.5
127,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,2,deepseek-chat,1.5
128,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,2,deepseek-chat,1.5
129,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,2,deepseek-chat,1.5
130,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,2,deepseek-chat,1.5
131,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,2,deepseek-chat,1.5
132,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,2,deepseek-chat,1.5
133,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,2,deepseek-chat,1.5
134,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,2,deepseek-chat,1.5
135,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,2,deepseek-chat,1.5
136,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,2,deepseek-chat,1.5
137,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,2,deepseek-chat,1.5
138,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,2,deepseek-chat,1.5
139,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,2,deepseek-chat,1.5
140,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,2,deepseek-chat,1.5
141,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,2,deepseek-chat,1.5
142,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,2,deepseek-chat,1.5
143,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,2,deepseek-chat,1.5
144,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,2,deepseek-chat,1.5
145,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,2,deepseek-chat,1.5
146,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,2,deepseek-chat,1.5
147,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,2,deepseek-chat,1.5
148,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,2,deepseek-chat,1.5
149,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,2,deepseek-chat,1.5
150,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,2,deepseek-chat,1.5
151,2,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,2,deepseek-chat,1.5
152,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",conservative,4.1,fairness,inverse,2,deepseek-chat,1.5
153,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,2,deepseek-chat,1.5
154,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,2,deepseek-chat,1.5
155,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,2,deepseek-chat,1.5
156,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,2,deepseek-chat,1.5
157,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,2,deepseek-chat,1.5
158,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,2,deepseek-chat,1.5
159,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,2,deepseek-chat,1.5
160,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,3,deepseek-chat,1.5
161,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,3,deepseek-chat,1.5
162,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,3,deepseek-chat,1.5
163,2,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,3,deepseek-chat,1.5
164,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,3,deepseek-chat,1.5
165,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,3,deepseek-chat,1.5
166,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,3,deepseek-chat,1.5
167,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,3,deepseek-chat,1.5
168,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,3,deepseek-chat,1.5
169,2,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,3,deepseek-chat,1.5
170,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,3,deepseek-chat,1.5
171,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,3,deepseek-chat,1.5
172,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,3,deepseek-chat,1.5
173,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,3,deepseek-chat,1.5
174,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,3,deepseek-chat,1.5
175,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,3,deepseek-chat,1.5
176,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,3,deepseek-chat,1.5
177,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,3,deepseek-chat,1.5
178,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,3,deepseek-chat,1.5
179,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,3,deepseek-chat,1.5
180,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,3,deepseek-chat,1.5
181,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,3,deepseek-chat,1.5
182,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,3,deepseek-chat,1.5
183,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,3,deepseek-chat,1.5
184,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,3,deepseek-chat,1.5
185,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,3,deepseek-chat,1.5
186,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,3,deepseek-chat,1.5
187,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,3,deepseek-chat,1.5
188,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,3,deepseek-chat,1.5
189,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,3,deepseek-chat,1.5
190,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,3,deepseek-chat,1.5
191,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,3,deepseek-chat,1.5
192,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,3,deepseek-chat,1.5
193,4,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,3,deepseek-chat,1.5
194,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,3,deepseek-chat,1.5
195,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,3,deepseek-chat,1.5
196,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,3,deepseek-chat,1.5
197,1,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,3,deepseek-chat,1.5
198,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,3,deepseek-chat,1.5
199,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,3,deepseek-chat,1.5
200,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,3,deepseek-chat,1.5
201,4,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,3,deepseek-chat,1.5
202,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,3,deepseek-chat,1.5
203,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,3,deepseek-chat,1.5
204,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,3,deepseek-chat,1.5
205,4,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,3,deepseek-chat,1.5
206,2,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,3,deepseek-chat,1.5
207,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,3,deepseek-chat,1.5
208,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,3,deepseek-chat,1.5
209,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,3,deepseek-chat,1.5
210,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,3,deepseek-chat,1.5
211,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,3,deepseek-chat,1.5
212,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,3,deepseek-chat,1.5
213,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,3,deepseek-chat,1.5
214,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,3,deepseek-chat,1.5
215,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,3,deepseek-chat,1.5
216,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,3,deepseek-chat,1.5
217,4,It can never be right to kill a human being.,conservative,5.2,harm,graham,3,deepseek-chat,1.5
218,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,3,deepseek-chat,1.5
219,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,3,deepseek-chat,1.5
220,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,3,deepseek-chat,1.5
221,2,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,3,deepseek-chat,1.5
222,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,3,deepseek-chat,1.5
223,2,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,3,deepseek-chat,1.5
224,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,3,deepseek-chat,1.5
225,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,3,deepseek-chat,1.5
226,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,3,deepseek-chat,1.5
