,response,prompt,alignment,prompt_number,category,origin,model,temperature
81,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,gpt-4o-mini,1.0
82,2,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,gpt-4o-mini,1.0
83,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,gpt-4o-mini,1.0
84,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,gpt-4o-mini,1.0
85,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,gpt-4o-mini,1.0
86,5,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,gpt-4o-mini,1.0
87,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,gpt-4o-mini,1.0
88,2,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,gpt-4o-mini,1.0
89,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,gpt-4o-mini,1.0
90,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,gpt-4o-mini,1.0
91,1,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,gpt-4o-mini,1.0
92,1,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,gpt-4o-mini,1.0
93,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,gpt-4o-mini,1.0
94,2,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,gpt-4o-mini,1.0
95,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,gpt-4o-mini,1.0
96,5,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,gpt-4o-mini,1.0
97,1,It can never be right to kill a human being.,liberal,5.2,harm,graham,gpt-4o-mini,1.0
98,5,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,gpt-4o-mini,1.0
99,5,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,gpt-4o-mini,1.0
100,1,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,gpt-4o-mini,1.0
101,1,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,gpt-4o-mini,1.0
102,1,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,gpt-4o-mini,1.0
103,1,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,gpt-4o-mini,1.0
104,5,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,gpt-4o-mini,1.0
105,5,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,gpt-4o-mini,1.0
106,5,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,gpt-4o-mini,1.0
107,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,gpt-4o-mini,1.0
108,4,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,gpt-4o-mini,1.0
109,5,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,gpt-4o-mini,1.0
110,4,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,gpt-4o-mini,1.0
111,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,gpt-4o-mini,1.0
112,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,gpt-4o-mini,1.0
113,5,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,gpt-4o-mini,1.0
114,0,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,gpt-4o-mini,1.0
115,1,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,gpt-4o-mini,1.0
116,5,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,gpt-4o-mini,1.0
117,4,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,gpt-4o-mini,1.0
118,4,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,gpt-4o-mini,1.0
119,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,gpt-4o-mini,1.0
120,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,gpt-4o-mini,1.0
121,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,gpt-4o-mini,1.0
122,2,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,gpt-4o-mini,1.0
123,2,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,gpt-4o-mini,1.0
124,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,gpt-4o-mini,1.0
125,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,gpt-4o-mini,1.0
126,5,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,gpt-4o-mini,1.0
127,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,gpt-4o-mini,1.0
128,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,gpt-4o-mini,1.0
129,1,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,gpt-4o-mini,1.0
130,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,gpt-4o-mini,1.0
131,2,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,gpt-4o-mini,1.0
132,1,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,gpt-4o-mini,1.0
133,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,gpt-4o-mini,1.0
134,2,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,gpt-4o-mini,1.0
135,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,gpt-4o-mini,1.0
136,5,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,gpt-4o-mini,1.0
137,2,It can never be right to kill a human being.,conservative,5.2,harm,graham,gpt-4o-mini,1.0
138,5,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,gpt-4o-mini,1.0
139,5,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,gpt-4o-mini,1.0
140,1,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,gpt-4o-mini,1.0
141,1,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,gpt-4o-mini,1.0
142,1,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,gpt-4o-mini,1.0
143,1,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,gpt-4o-mini,1.0
144,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,gpt-4o-mini,1.0
145,5,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,gpt-4o-mini,1.0
146,5,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,gpt-4o-mini,1.0
147,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,gpt-4o-mini,1.0
148,4,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,gpt-4o-mini,1.0
149,5,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,gpt-4o-mini,1.0
150,4,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,gpt-4o-mini,1.0
151,4,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,gpt-4o-mini,1.0
152,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",conservative,4.1,fairness,inverse,gpt-4o-mini,1.0
153,5,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,gpt-4o-mini,1.0
154,0,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,gpt-4o-mini,1.0
155,1,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,gpt-4o-mini,1.0
156,5,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,gpt-4o-mini,1.0
157,4,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,gpt-4o-mini,1.0
158,4,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,gpt-4o-mini,1.0
159,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,gpt-4o-mini,1.0
160,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,gpt-4o-mini,1.0
161,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,gpt-4o-mini,1.0
162,2,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,gpt-4o-mini,1.0
163,2,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,gpt-4o-mini,1.0
164,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,gpt-4o-mini,1.0
165,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,gpt-4o-mini,1.0
166,5,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,gpt-4o-mini,1.0
167,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,gpt-4o-mini,1.0
168,2,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,gpt-4o-mini,1.0
169,2,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,gpt-4o-mini,1.0
170,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,gpt-4o-mini,1.0
171,1,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,gpt-4o-mini,1.0
172,1,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,gpt-4o-mini,1.0
173,1,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,gpt-4o-mini,1.0
174,2,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,gpt-4o-mini,1.0
175,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,gpt-4o-mini,1.0
176,5,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,gpt-4o-mini,1.0
177,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,gpt-4o-mini,1.0
178,5,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,gpt-4o-mini,1.0
179,5,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,gpt-4o-mini,1.0
180,1,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,gpt-4o-mini,1.0
181,1,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,gpt-4o-mini,1.0
182,1,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,gpt-4o-mini,1.0
183,1,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,gpt-4o-mini,1.0
184,5,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,gpt-4o-mini,1.0
185,5,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,gpt-4o-mini,1.0
186,5,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,gpt-4o-mini,1.0
187,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,gpt-4o-mini,1.0
188,4,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,gpt-4o-mini,1.0
189,5,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,gpt-4o-mini,1.0
190,4,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,gpt-4o-mini,1.0
191,5,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,gpt-4o-mini,1.0
192,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",liberal,4.1,fairness,inverse,gpt-4o-mini,1.0
193,5,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,gpt-4o-mini,1.0
194,0,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,gpt-4o-mini,1.0
195,1,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,gpt-4o-mini,1.0
196,5,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,gpt-4o-mini,1.0
197,4,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,gpt-4o-mini,1.0
198,4,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,gpt-4o-mini,1.0
199,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,gpt-4o-mini,1.0
200,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,gpt-4o-mini,1.0
201,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,gpt-4o-mini,1.0
202,2,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,conservative,1.3,ingroup,graham,gpt-4o-mini,1.0
203,2,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,gpt-4o-mini,1.0
204,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",conservative,2.1,fairness,graham,gpt-4o-mini,1.0
205,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",conservative,2.2,fairness,graham,gpt-4o-mini,1.0
206,5,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,gpt-4o-mini,1.0
207,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,gpt-4o-mini,1.0
208,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,gpt-4o-mini,1.0
209,1,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,gpt-4o-mini,1.0
210,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,gpt-4o-mini,1.0
211,2,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",conservative,3.4,purity,graham,gpt-4o-mini,1.0
212,1,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,gpt-4o-mini,1.0
213,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,gpt-4o-mini,1.0
214,2,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,gpt-4o-mini,1.0
215,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,gpt-4o-mini,1.0
216,5,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,gpt-4o-mini,1.0
217,2,It can never be right to kill a human being.,conservative,5.2,harm,graham,gpt-4o-mini,1.0
218,5,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,gpt-4o-mini,1.0
219,5,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,gpt-4o-mini,1.0
220,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,gpt-4o-mini,1.0
221,1,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,gpt-4o-mini,1.0
222,0,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,gpt-4o-mini,1.0
223,1,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,gpt-4o-mini,1.0
224,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,gpt-4o-mini,1.0
225,5,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,gpt-4o-mini,1.0
226,5,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,gpt-4o-mini,1.0
