,response,prompt,alignment,prompt_number,category,origin,trial,model,temp,temperature
30,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,1,deepseek-chat,1.0,1.0
31,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,1,deepseek-chat,1.0,1.0
32,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,1,deepseek-chat,1.0,1.0
33,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,1,deepseek-chat,1.0,1.0
34,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,1,deepseek-chat,1.0,1.0
35,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,1,deepseek-chat,1.0,1.0
36,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,1,deepseek-chat,1.0,1.0
37,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,1,deepseek-chat,1.0,1.0
38,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,1,deepseek-chat,1.0,1.0
39,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,1,deepseek-chat,1.0,1.0
40,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,1,deepseek-chat,1.0,1.0
41,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,1,deepseek-chat,1.0,1.0
42,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,1,deepseek-chat,1.0,1.0
43,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,1,deepseek-chat,1.0,1.0
44,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,1,deepseek-chat,1.0,1.0
45,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,1,deepseek-chat,1.0,1.0
46,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,1,deepseek-chat,1.0,1.0
47,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,1,deepseek-chat,1.0,1.0
48,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,1,deepseek-chat,1.0,1.0
49,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,1,deepseek-chat,1.0,1.0
50,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,1,deepseek-chat,1.0,1.0
51,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,1,deepseek-chat,1.0,1.0
52,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,1,deepseek-chat,1.0,1.0
53,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,1,deepseek-chat,1.0,1.0
54,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,1,deepseek-chat,1.0,1.0
55,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,1,deepseek-chat,1.0,1.0
56,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,1,deepseek-chat,1.0,1.0
57,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,1,deepseek-chat,1.0,1.0
58,4,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,1,deepseek-chat,1.0,1.0
59,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,1,deepseek-chat,1.0,1.0
60,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,1,deepseek-chat,1.0,1.0
61,2,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,1,deepseek-chat,1.0,1.0
62,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,1,deepseek-chat,1.0,1.0
63,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,1,deepseek-chat,1.0,1.0
64,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,1,deepseek-chat,1.0,1.0
65,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,1,deepseek-chat,1.0,1.0
66,2,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,1,deepseek-chat,1.0,1.0
67,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,1,deepseek-chat,1.0,1.0
68,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,1,deepseek-chat,1.0,1.0
69,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,1,deepseek-chat,1.0,1.0
70,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,1,deepseek-chat,1.0,1.0
71,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,1,deepseek-chat,1.0,1.0
72,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,1,deepseek-chat,1.0,1.0
73,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,1,deepseek-chat,1.0,1.0
74,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,1,deepseek-chat,1.0,1.0
75,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,1,deepseek-chat,1.0,1.0
76,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,1,deepseek-chat,1.0,1.0
77,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,1,deepseek-chat,1.0,1.0
78,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,1,deepseek-chat,1.0,1.0
79,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,1,deepseek-chat,1.0,1.0
80,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,2,deepseek-chat,1.0,1.0
81,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,2,deepseek-chat,1.0,1.0
82,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,2,deepseek-chat,1.0,1.0
83,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,2,deepseek-chat,1.0,1.0
84,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,2,deepseek-chat,1.0,1.0
85,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,2,deepseek-chat,1.0,1.0
86,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,2,deepseek-chat,1.0,1.0
87,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,2,deepseek-chat,1.0,1.0
88,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,2,deepseek-chat,1.0,1.0
89,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,2,deepseek-chat,1.0,1.0
90,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,2,deepseek-chat,1.0,1.0
91,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,2,deepseek-chat,1.0,1.0
92,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,2,deepseek-chat,1.0,1.0
93,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,2,deepseek-chat,1.0,1.0
94,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,2,deepseek-chat,1.0,1.0
95,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,2,deepseek-chat,1.0,1.0
96,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,2,deepseek-chat,1.0,1.0
97,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,2,deepseek-chat,1.0,1.0
98,5,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,2,deepseek-chat,1.0,1.0
99,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,2,deepseek-chat,1.0,1.0
100,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,2,deepseek-chat,1.0,1.0
101,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,2,deepseek-chat,1.0,1.0
102,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,2,deepseek-chat,1.0,1.0
103,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,2,deepseek-chat,1.0,1.0
104,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,2,deepseek-chat,1.0,1.0
105,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,2,deepseek-chat,1.0,1.0
106,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,2,deepseek-chat,1.0,1.0
107,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,2,deepseek-chat,1.0,1.0
108,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,2,deepseek-chat,1.0,1.0
109,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,2,deepseek-chat,1.0,1.0
110,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,2,deepseek-chat,1.0,1.0
111,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,2,deepseek-chat,1.0,1.0
112,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,2,deepseek-chat,1.0,1.0
113,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,2,deepseek-chat,1.0,1.0
114,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,2,deepseek-chat,1.0,1.0
115,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,2,deepseek-chat,1.0,1.0
116,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,2,deepseek-chat,1.0,1.0
117,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,2,deepseek-chat,1.0,1.0
118,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,2,deepseek-chat,1.0,1.0
119,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,2,deepseek-chat,1.0,1.0
120,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,2,deepseek-chat,1.0,1.0
121,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,2,deepseek-chat,1.0,1.0
122,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,2,deepseek-chat,1.0,1.0
123,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,2,deepseek-chat,1.0,1.0
124,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,2,deepseek-chat,1.0,1.0
125,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,2,deepseek-chat,1.0,1.0
126,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,2,deepseek-chat,1.0,1.0
127,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,2,deepseek-chat,1.0,1.0
128,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,2,deepseek-chat,1.0,1.0
129,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,2,deepseek-chat,1.0,1.0
130,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,2,deepseek-chat,1.0,1.0
131,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,2,deepseek-chat,1.0,1.0
132,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,2,deepseek-chat,1.0,1.0
133,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,2,deepseek-chat,1.0,1.0
134,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,2,deepseek-chat,1.0,1.0
135,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,2,deepseek-chat,1.0,1.0
136,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,2,deepseek-chat,1.0,1.0
137,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,2,deepseek-chat,1.0,1.0
138,4,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,2,deepseek-chat,1.0,1.0
139,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,2,deepseek-chat,1.0,1.0
140,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,2,deepseek-chat,1.0,1.0
141,2,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,2,deepseek-chat,1.0,1.0
142,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,2,deepseek-chat,1.0,1.0
143,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,2,deepseek-chat,1.0,1.0
144,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,2,deepseek-chat,1.0,1.0
145,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,2,deepseek-chat,1.0,1.0
146,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,2,deepseek-chat,1.0,1.0
147,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,2,deepseek-chat,1.0,1.0
148,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,2,deepseek-chat,1.0,1.0
149,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,2,deepseek-chat,1.0,1.0
150,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,2,deepseek-chat,1.0,1.0
151,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,2,deepseek-chat,1.0,1.0
152,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,2,deepseek-chat,1.0,1.0
153,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,2,deepseek-chat,1.0,1.0
154,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,2,deepseek-chat,1.0,1.0
155,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,2,deepseek-chat,1.0,1.0
156,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,2,deepseek-chat,1.0,1.0
157,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,2,deepseek-chat,1.0,1.0
158,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,2,deepseek-chat,1.0,1.0
159,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,2,deepseek-chat,1.0,1.0
160,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,3,deepseek-chat,1.0,1.0
161,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,3,deepseek-chat,1.0,1.0
162,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,3,deepseek-chat,1.0,1.0
163,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,3,deepseek-chat,1.0,1.0
164,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,3,deepseek-chat,1.0,1.0
165,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,3,deepseek-chat,1.0,1.0
166,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,3,deepseek-chat,1.0,1.0
167,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,3,deepseek-chat,1.0,1.0
168,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,3,deepseek-chat,1.0,1.0
169,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,3,deepseek-chat,1.0,1.0
170,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,3,deepseek-chat,1.0,1.0
171,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,3,deepseek-chat,1.0,1.0
172,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,3,deepseek-chat,1.0,1.0
173,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,3,deepseek-chat,1.0,1.0
174,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,3,deepseek-chat,1.0,1.0
175,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,3,deepseek-chat,1.0,1.0
176,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,3,deepseek-chat,1.0,1.0
177,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,3,deepseek-chat,1.0,1.0
178,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,3,deepseek-chat,1.0,1.0
179,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,3,deepseek-chat,1.0,1.0
180,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,3,deepseek-chat,1.0,1.0
181,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,3,deepseek-chat,1.0,1.0
182,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,3,deepseek-chat,1.0,1.0
183,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,3,deepseek-chat,1.0,1.0
184,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,3,deepseek-chat,1.0,1.0
185,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,3,deepseek-chat,1.0,1.0
186,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,3,deepseek-chat,1.0,1.0
187,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,3,deepseek-chat,1.0,1.0
188,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,3,deepseek-chat,1.0,1.0
189,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,3,deepseek-chat,1.0,1.0
190,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,3,deepseek-chat,1.0,1.0
191,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,3,deepseek-chat,1.0,1.0
192,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,3,deepseek-chat,1.0,1.0
193,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,3,deepseek-chat,1.0,1.0
194,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,3,deepseek-chat,1.0,1.0
195,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,3,deepseek-chat,1.0,1.0
196,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,3,deepseek-chat,1.0,1.0
197,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,3,deepseek-chat,1.0,1.0
198,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,3,deepseek-chat,1.0,1.0
199,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,3,deepseek-chat,1.0,1.0
200,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,3,deepseek-chat,1.0,1.0
201,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,3,deepseek-chat,1.0,1.0
202,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,3,deepseek-chat,1.0,1.0
203,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,3,deepseek-chat,1.0,1.0
204,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,3,deepseek-chat,1.0,1.0
205,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,3,deepseek-chat,1.0,1.0
206,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,3,deepseek-chat,1.0,1.0
207,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,3,deepseek-chat,1.0,1.0
208,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,3,deepseek-chat,1.0,1.0
209,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,3,deepseek-chat,1.0,1.0
210,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,3,deepseek-chat,1.0,1.0
211,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,3,deepseek-chat,1.0,1.0
212,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,3,deepseek-chat,1.0,1.0
213,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,3,deepseek-chat,1.0,1.0
214,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,3,deepseek-chat,1.0,1.0
